fase,variable,problema_detectado,transformacion,registros_afectados,justificacion
Fase 1 - Identificadores,MODALIDAD,"Ninguno (dominio cerrado, ya consistente)","Trim + mayúsculas defensivo; se castea a tipo 'category' (tipo apropiado para una variable categórica de dominio cerrado, en vez de texto genérico)",0,"Se verifica que el conjunto de categorías sea exactamente ['BILINGUE', 'MONOLINGUE']; SIN ESPECIFICAR/SIN JORNADA se mantienen como categoría propia, no se recodifican a NA (ver docs/02)."
Fase 1 - Identificadores,JORNADA,"Ninguno (dominio cerrado, ya consistente)","Trim + mayúsculas defensivo; se castea a tipo 'category' (tipo apropiado para una variable categórica de dominio cerrado, en vez de texto genérico)",0,"Se verifica que el conjunto de categorías sea exactamente ['DOBLE', 'INTERMEDIA', 'MATUTINA', 'NOCTURNA', 'SIN JORNADA', 'VESPERTINA']; SIN ESPECIFICAR/SIN JORNADA se mantienen como categoría propia, no se recodifican a NA (ver docs/02)."
Fase 1 - Identificadores,PLAN,"13 categorías, 4 variantes de SEMIPRESENCIAL potencialmente redundantes",Trim + mayúsculas defensivo; casteo a category. NO se unifican las variantes de SEMIPRESENCIAL: se preserva el detalle original,0,Unificar sin verificar con criterio de dominio (no solo de texto) arriesga perder información real sobre la modalidad (ver docs/02_Plan_de_Limpieza.md).
Fase 1 - Identificadores,ARCHIVO_ORIGEN,Ninguno,Sin cambios; se conserva para trazabilidad/auditoría del proceso de descarga,0,"Es un metadato técnico nuestro, no una variable del fenómeno; se documentará como tal en el Libro de Códigos."
Fase 2 - Texto libre,ESTABLECIMIENTO,1392 filas con espacios dobles internos,Trim + colapso de espacios múltiples a uno solo,1392,"Limpieza de formato estándar; no cambia el contenido, solo el espaciado."
Fase 2 - Texto libre,ESTABLECIMIENTO,Mayúsculas: se verifica consistencia (no se fuerza un cambio de estilo innecesario),Sin cambios: el campo ya está 100% en mayúsculas,0,La fuente ya entrega el campo casi enteramente en mayúsculas; forzar mayúsculas sobre casos minoritarios sin revisar podría alterar un nombre propio con capitalización intencional.
Fase 2 - Texto libre,ESTABLECIMIENTO,2959 filas con comillas dobles o apóstrofe (mezcla comillas decorativas + apóstrofes legítimos k'iche'),"Regla automática (borde de palabra/puntuación vs. interior) + 7 correcciones manuales documentadas: 2 con comillas dobladas que la regla automática no resolvía en una sola pasada, y 5 con una comilla decorativa pegada entre dos letras (indistinguible por posición de un apóstrofe ortográfico), halladas por revisión manual del listado completo",2936,"La regla automática cubre la enorme mayoría de casos de forma verificable; los 7 nombres residuales se revisaron a mano porque su propio texto ya evidencia cuál es la comilla decorativa y cuál el apóstrofe ortográfico — no se adivina nada, se documenta la decisión de cada uno."
Fase 2 - Texto libre,DIRECCION,485 filas con espacios dobles; 10 filas con minúsculas sueltas,Trim + colapso de espacios; mayúsculas consistentes en todo el campo,495,Normaliza formato sin alterar el contenido semántico de la dirección.
Fase 2 - Texto libre,DIRECCION,"Abreviaturas inconsistentes: Z./ZONA, AV./AVENIDA, CALZ./CALZADA, KM/KM./KILOMETRO","Se estandariza cada grupo a la forma ya dominante en el propio dataset: Z.->ZONA, AV.->AVENIDA, CALZ.->CALZADA, KILOMETRO/KM->'KM.'",565,"Se preserva la redacción original en todo lo demás (no se fuerza un formato postal estricto); solo se unifican estas 4 abreviaturas de alta frecuencia, hacia la forma que ya predomina en los datos para minimizar el cambio total."
Fase 2 - Texto libre,DIRECCION,"76 celdas vacías + 6 con placeholders de faltante (""--"", ""."", etc.)","Se marcan como NA explícito (vacío real, no se imputa ninguna dirección)",82,"Ninguno de estos placeholders es una dirección válida bajo ninguna lectura razonable (ver guía, Actividad 5.a.iv); se tratan igual que una celda vacía."
Fase 2 - Texto libre,SUPERVISOR,535 celdas vacías; 98 con espacios dobles,Trim + colapso de espacios; vacíos a NA explícito. No se imputa ningún nombre,633,Mismo tratamiento que el resto de campos de nombre propio: no se inventa información faltante.
Fase 2 - Texto libre,DIRECTOR,"1732 celdas vacías (14.6%, la variable con más faltantes) + 99 con placeholders de faltante (""--"", ""SIN DATO"", ""-"", "".""); 866 con espacios dobles",Trim + colapso de espacios; vacíos y placeholders a NA explícito. No se imputa ningún nombre,2697,"Ninguno de estos placeholders es un nombre válido (ver guía, Actividad 5.a.iv); se tratan igual que una celda vacía. No se imputa bajo ninguna circunstancia (generaría datos falsos)."
"Fase 3 - Teléfono, duplicados y ensamblaje",TELEFONO,946 vacíos; 9 con letras; 184 con más de un número; formato inconsistente,"Se extraen los números de la celda; el 2do número (si existe) pasa a TELEFONO_2 (derivada); solo se acepta como válido un número de 8 dígitos exactos, formateado NNNN-NNNN; el resto queda NA",1052,"No se inventan dígitos faltantes ni se adivina el número correcto; los casos ambiguos (varios guiones, palabras conectoras como 'Y'/'AL') se resuelven de forma conservadora hacia NA en vez de arriesgar un número incorrecto."
"Fase 3 - Teléfono, duplicados y ensamblaje",TELEFONO_2,No existía en la fuente,Variable derivada: guarda el segundo número cuando una celda de TELEFONO original traía más de uno,121,Evita descartar información real (184 celdas con más de un número en el crudo); se documenta en el Libro de Códigos como derivada.
"Fase 3 - Teléfono, duplicados y ensamblaje",(nueva) POSIBLE_DUPLICADO_GRUPO / NOTA_DUPLICADO,3293 pares de nombres similares (RapidFuzz token_sort_ratio >= 90.0) agrupados en 745 clústeres (2947 filas involucradas),Se agregan 2 columnas derivadas que SOLO marcan/documentan el hallazgo (grupo + nota de triage); ninguna fila se elimina ni se fusiona automáticamente. El detalle de cada par queda en data/revision_posibles_duplicados.csv para revisión manual del grupo,2947,La guía exige no eliminar automáticamente y documentar la decisión de cada caso; un colegio puede tener varios CODIGO legítimos por jornada/plan distintos (la nota ya distingue ese caso de uno realmente sospechoso).
